,crop,variable,estimates
1,wt,Intercept,-0.576421649
2,wt,sppAgapostemon_sericeus,-0.009279838
3,wt,sppAgapostemon_texanus,-0.014124596
4,wt,sppAgapostemon_virescens,0
5,wt,sppAugochlora_pura,0.558159608
6,wt,sppAugochlorella_aurata,0.252162681
7,wt,sppAugochloropsis_metallica,-0.102126726
8,wt,sppBombus_bimaculatus,-0.068328543
9,wt,sppBombus_griseocollis,-0.044189731
10,wt,sppBombus_impatiens,0.725048904
11,wt,sppCalliopsis_andreniformis,-0.029828203
12,wt,sppCeratina_calcarata_dupla_miqmaki,0.280782801
13,wt,sppCeratina_strenua,0
14,wt,sppHalictus_confusus,0.18712962
15,wt,sppHalictus_ligatus,0.135271953
16,wt,sppHalictus_parallelus,-0.096935391
17,wt,sppHalictus_rubicundus,0
18,wt,sppLasioglossum_admirandum,-0.129706998
19,wt,sppLasioglossum_albipenne,-0.118065531
20,wt,sppLasioglossum_bruneri,0
21,wt,sppLasioglossum_coriaceum,-0.107890698
22,wt,sppLasioglossum_cressonii,-0.071238004
23,wt,sppLasioglossum_ephialtum,0
24,wt,sppLasioglossum_illinoense,0.036021268
25,wt,sppLasioglossum_imitatum,0.55394426
26,wt,sppLasioglossum_leucocomum,0.002812834
27,wt,sppLasioglossum_mitchelli,0.283412671
28,wt,sppLasioglossum_nymphaearum,0
29,wt,sppLasioglossum_oblongum,-0.118783972
30,wt,sppLasioglossum_obscurum,-0.07245479
31,wt,sppLasioglossum_paradmirandum,0.133974695
32,wt,sppLasioglossum_pectorale,0.041004684
33,wt,sppLasioglossum_pilosum,0.337276238
34,wt,sppLasioglossum_rozeni,-0.150752269
35,wt,sppLasioglossum_smilacinae,-0.106925589
36,wt,sppLasioglossum_tegulare,0.069406914
37,wt,sppLasioglossum_trigeminum,-0.021964911
38,wt,sppLasioglossum_truncatum,0
39,wt,sppLasioglossum_versatum,0.428595442
40,wt,sppLasioglossum_weemsi,0.203014094
41,wt,sppLasioglossum_zephyrum,0
42,wt,sppMegachile_mendica,-0.040327507
43,wt,sppMelissodes_bimaculata,0.338962415
44,wt,sppPeponapis_pruinosa,0.298377021
45,wt,sppTriepeolus_remigatus,0.142618209
46,wt,sppXylocopa_virginica,0
47,wt,ag_300,-0.033515551
48,wt,open_300,0.124754762
49,wt,ag_1500,-0.047821623
50,wt,open_1500,0.083440715
51,wt,ag_300.squ,-0.042700664
52,wt,open_300.squ,-0.055003683
53,wt,ag_1500.squ,-0.096777603
54,wt,open_1500.squ,0
55,wt,Nest_placecavity,0
56,wt,Nest_placehole,0
57,wt,Nest_placesoil,0
58,wt,Nest_placestem,0.198778917
59,wt,Nest_placewood,0
60,wt,SocialityEusocial,0
61,wt,Socialityfac_social,0
62,wt,SocialitySolitary,0
63,wt,ParasiticYes,0
64,wt,ITfam,-0.173420908
65,wt,PDrar20,0
66,wt,tongue,0
67,wt,ITfam.squ,0
68,wt,PDrar20.squ,0
69,wt,tongue.squ,0
70,wt,ag_300:Nest_placecavity,0
71,wt,ag_300:Nest_placehole,0
72,wt,ag_300:Nest_placesoil,0
73,wt,ag_300:Nest_placestem,-0.049978079
74,wt,ag_300:Nest_placewood,0
75,wt,ag_300:SocialityEusocial,0
76,wt,ag_300:Socialityfac_social,0
77,wt,ag_300:SocialitySolitary,0
78,wt,ag_300:ParasiticYes,0.108922029
79,wt,ag_300:ITfam,0.192003954
80,wt,ag_300:PDrar20,0
81,wt,ag_300:tongue,0
82,wt,open_300:Nest_placecavity,0
83,wt,open_300:Nest_placehole,0
84,wt,open_300:Nest_placesoil,0.038326704
85,wt,open_300:Nest_placestem,0
86,wt,open_300:Nest_placewood,0
87,wt,open_300:SocialityEusocial,0.00808636
88,wt,open_300:Socialityfac_social,0
89,wt,open_300:SocialitySolitary,-0.013199001
90,wt,open_300:ParasiticYes,-0.039553688
91,wt,open_300:ITfam,0
92,wt,open_300:PDrar20,0.061463166
93,wt,open_300:tongue,0
94,wt,ag_1500:Nest_placecavity,0
95,wt,ag_1500:Nest_placehole,0
96,wt,ag_1500:Nest_placesoil,-0.005213896
97,wt,ag_1500:Nest_placestem,0.017326634
98,wt,ag_1500:Nest_placewood,0
99,wt,ag_1500:SocialityEusocial,0
100,wt,ag_1500:Socialityfac_social,0
101,wt,ag_1500:SocialitySolitary,0
102,wt,ag_1500:ParasiticYes,0
103,wt,ag_1500:ITfam,-0.063254087
104,wt,ag_1500:PDrar20,0.061183593
105,wt,ag_1500:tongue,0
106,wt,open_1500:Nest_placecavity,-0.036150993
107,wt,open_1500:Nest_placehole,-0.0710914
108,wt,open_1500:Nest_placesoil,0
109,wt,open_1500:Nest_placestem,0.056228857
110,wt,open_1500:Nest_placewood,0
111,wt,open_1500:SocialityEusocial,-0.010382428
112,wt,open_1500:Socialityfac_social,0
113,wt,open_1500:SocialitySolitary,0
114,wt,open_1500:ParasiticYes,0.134685819
115,wt,open_1500:ITfam,0
116,wt,open_1500:PDrar20,-0.099793932
117,wt,open_1500:tongue,0
118,bb,Intercept,-1.105790242
119,bb,sppAndrena_bradleyi,0.42049863
120,bb,sppAndrena_cressonii,0
121,bb,sppAndrena_fenningeri,0
122,bb,sppAndrena_morrisonella,0
123,bb,sppAndrena_vicina,0.019815503
124,bb,sppAugochlora_pura,0
125,bb,sppAugochlorella_aurata,0
126,bb,sppBombus_bimaculatus,0
127,bb,sppBombus_griseocollis,0
128,bb,sppBombus_impatiens,0
129,bb,sppBombus_perplexus,0
130,bb,sppColletes_inaequalis,0.126105594
131,bb,sppColletes_thoracicus,0
132,bb,sppColletes_validus,0.083273954
133,bb,sppHabropoda_laboriosa,0
134,bb,sppLasioglossum_leucocomum,0
135,bb,sppLasioglossum_oblongum,0
136,bb,sppLasioglossum_pilosum,0
137,bb,sppLasioglossum_versatum,0
138,bb,sppLasioglossum_weemsi,0
139,bb,sppOsmia_pumila,0
140,bb,sppXylocopa_virginica,0
141,bb,ag_300,-0.26658714
142,bb,open_300,0
143,bb,ag_1500,-0.115548638
144,bb,open_1500,0
145,bb,ag_300.squ,0.177220016
146,bb,open_300.squ,0
147,bb,ag_1500.squ,0
148,bb,open_1500.squ,0
149,bb,Nest_placecavity,0
150,bb,Nest_placehole,0
151,bb,Nest_placesoil,0
152,bb,Nest_placewood,0
153,bb,SocialityEusocial,0
154,bb,Socialityfac_social,0
155,bb,SocialitySolitary,0
156,bb,ITfam,0.569257497
157,bb,PDrar20,0
158,bb,tongue,0
159,bb,ITfam.squ,0
160,bb,PDrar20.squ,0.1567025
161,bb,tongue.squ,0
162,bb,ag_300:Nest_placecavity,0
163,bb,ag_300:Nest_placehole,0
164,bb,ag_300:Nest_placesoil,0
165,bb,ag_300:Nest_placewood,0
166,bb,ag_300:SocialityEusocial,0
167,bb,ag_300:Socialityfac_social,0
168,bb,ag_300:SocialitySolitary,0
169,bb,ag_300:ITfam,0
170,bb,ag_300:PDrar20,0
171,bb,ag_300:tongue,0
172,bb,open_300:Nest_placecavity,0
173,bb,open_300:Nest_placehole,0
174,bb,open_300:Nest_placesoil,0
175,bb,open_300:Nest_placewood,0
176,bb,open_300:SocialityEusocial,0
177,bb,open_300:Socialityfac_social,0
178,bb,open_300:SocialitySolitary,0
179,bb,open_300:ITfam,0
180,bb,open_300:PDrar20,0
181,bb,open_300:tongue,0
182,bb,ag_1500:Nest_placecavity,0
183,bb,ag_1500:Nest_placehole,0
184,bb,ag_1500:Nest_placesoil,0
185,bb,ag_1500:Nest_placewood,0
186,bb,ag_1500:SocialityEusocial,0
187,bb,ag_1500:Socialityfac_social,0
188,bb,ag_1500:SocialitySolitary,0
189,bb,ag_1500:ITfam,-0.065424217
190,bb,ag_1500:PDrar20,0
191,bb,ag_1500:tongue,-0.30068745
192,bb,open_1500:Nest_placecavity,0
193,bb,open_1500:Nest_placehole,0
194,bb,open_1500:Nest_placesoil,0
195,bb,open_1500:Nest_placewood,0
196,bb,open_1500:SocialityEusocial,0
197,bb,open_1500:Socialityfac_social,0
198,bb,open_1500:SocialitySolitary,0
199,bb,open_1500:ITfam,0
200,bb,open_1500:PDrar20,0
201,bb,open_1500:tongue,0
202,cb,Intercept,-0.631992954
203,cb,sppAgapostemon_splendens,0
204,cb,sppAndrena_imitatrix,-0.040613799
205,cb,sppAndrena_vicina,0
206,cb,sppAugochlora_pura,0
207,cb,sppAugochlorella_aurata,0.352482114
208,cb,sppAugochloropsis_metallica,0.236752572
209,cb,sppAugochloropsis_sumptuosa,0.121551536
210,cb,sppBombus_bimaculatus,0.080454703
211,cb,sppBombus_griseocollis,0.084130022
212,cb,sppBombus_impatiens,0.164000021
213,cb,sppBombus_perplexus,0
214,cb,sppBombus_vagans,-0.086979307
215,cb,sppCeratina_calcarata_dupla_miqmaki,0
216,cb,sppCoelioxys_immaculata,0
217,cb,sppCoelioxys_porterae,0
218,cb,sppHeriades_carinatus,0
219,cb,sppHoplitis_truncata,0
220,cb,sppHylaeus_affinis,0.046287451
221,cb,sppLasioglossum_apopkense,-0.015975843
222,cb,sppLasioglossum_creberrimum,0
223,cb,sppLasioglossum_fuscipenne,0
224,cb,sppLasioglossum_georgeickworti,0.103453894
225,cb,sppLasioglossum_lineatulum,0
226,cb,sppLasioglossum_oblongum,0.065553692
227,cb,sppLasioglossum_pilosum,0
228,cb,sppLasioglossum_subviridatum,0.103315494
229,cb,sppLasioglossum_trigeminum,0
230,cb,sppLasioglossum_versatum,0
231,cb,sppMegachile_addenda,0
232,cb,sppMegachile_gemula,0
233,cb,sppMegachile_mendica,0
234,cb,sppMegachile_texana,0
235,cb,sppMelitta_americana,0.371484288
236,cb,sppNomada_rodecki,0.28043488
237,cb,sppOsmia_inspergens,0
238,cb,sppOsmia_pumila,0
239,cb,sppOsmia_virga,0.24124345
240,cb,sppPanurginus_atramontensis,0
241,cb,sppSphecodes_aroniae,0
242,cb,sppSphecodes_fattigi,0
243,cb,sppXylocopa_virginica,0
244,cb,ag_300,0
245,cb,open_300,0
246,cb,ag_1500,-0.239273032
247,cb,open_1500,0
248,cb,ag_300.squ,0
249,cb,open_300.squ,0
250,cb,ag_1500.squ,0
251,cb,open_1500.squ,0.161123069
252,cb,Nest_placecavity,0.788141301
253,cb,Nest_placehole,0
254,cb,Nest_placesoil,0
255,cb,Nest_placestem,0
256,cb,Nest_placewood,0.210443302
257,cb,SocialityEusocial,0.119359227
258,cb,Socialityfac_social,0
259,cb,SocialitySolitary,0
260,cb,ParasiticYes,-0.002756197
261,cb,ITfam,0.360722617
262,cb,PDrar20,0
263,cb,tongue,0
264,cb,ITfam.squ,0
265,cb,PDrar20.squ,0.278531163
266,cb,tongue.squ,0.236448892
267,cb,ag_300:Nest_placecavity,-0.041561834
268,cb,ag_300:Nest_placehole,0
269,cb,ag_300:Nest_placesoil,0
270,cb,ag_300:Nest_placestem,0
271,cb,ag_300:Nest_placewood,0
272,cb,ag_300:SocialityEusocial,0
273,cb,ag_300:Socialityfac_social,0
274,cb,ag_300:SocialitySolitary,-0.063994245
275,cb,ag_300:ParasiticYes,0
276,cb,ag_300:ITfam,0
277,cb,ag_300:PDrar20,0.038303398
278,cb,ag_300:tongue,0
279,cb,open_300:Nest_placecavity,-0.052194922
280,cb,open_300:Nest_placehole,0
281,cb,open_300:Nest_placesoil,0
282,cb,open_300:Nest_placestem,0
283,cb,open_300:Nest_placewood,0.139451554
284,cb,open_300:SocialityEusocial,0
285,cb,open_300:Socialityfac_social,0
286,cb,open_300:SocialitySolitary,0
287,cb,open_300:ParasiticYes,0
288,cb,open_300:ITfam,0
289,cb,open_300:PDrar20,0.111563737
290,cb,open_300:tongue,0
291,cb,ag_1500:Nest_placecavity,-0.016970912
292,cb,ag_1500:Nest_placehole,0
293,cb,ag_1500:Nest_placesoil,0
294,cb,ag_1500:Nest_placestem,0
295,cb,ag_1500:Nest_placewood,0
296,cb,ag_1500:SocialityEusocial,0
297,cb,ag_1500:Socialityfac_social,0
298,cb,ag_1500:SocialitySolitary,0
299,cb,ag_1500:ParasiticYes,0
300,cb,ag_1500:ITfam,0.053019912
301,cb,ag_1500:PDrar20,0
302,cb,ag_1500:tongue,0
303,cb,open_1500:Nest_placecavity,0
304,cb,open_1500:Nest_placehole,0
305,cb,open_1500:Nest_placesoil,0.150882962
306,cb,open_1500:Nest_placestem,0
307,cb,open_1500:Nest_placewood,0
308,cb,open_1500:SocialityEusocial,0
309,cb,open_1500:Socialityfac_social,0
310,cb,open_1500:SocialitySolitary,0
311,cb,open_1500:ParasiticYes,0
312,cb,open_1500:ITfam,0.093262373
313,cb,open_1500:PDrar20,0
314,cb,open_1500:tongue,0